# -*- tcl -*- bench/csv
1
1,8.6.12,/home/aku/opt/ActiveTcl/bin/tclsh-critcl
1,BBox 0 51 6 51 7,1.172
2,BBox 1 51 6 50 6,1.159
3,BBox 2 0 0 0 1,1.333
4,BBox 3 0 0 1 0,1.149
5,BBox 4 50.777 6 50.778 6,1.327
6,BBox 5 50.777 6 50.778 6.001,1.142
7,BBox 6 50 6 -50 174,1.154
8,BBoxList 0 51 6 51 7,1.104
9,BBoxList 1 51 6 50 6,1.31
10,BBoxList 2 0 0 0 1,1.239
11,BBoxList 3 0 0 1 0,1.088
12,BBoxList 4 50.777 6 50.778 6,1.269
13,BBoxList 5 50.777 6 50.778 6.001,1.124
14,BBoxList 6 50 6 -50 174,1.068
15,Center 0 51 6 51 7,1.111
16,Center 1 51 6 50 6,1.314
17,Center 2 0 0 0 1,1.137
18,Center 3 0 0 1 0,1.102
19,Center 4 50.777 6 50.778 6,1.266
20,Center 5 50.777 6 50.778 6.001,1.581
21,Center 6 50 6 -50 174,1.087
22,CenterList 0 51 6 51 7,1.004
23,CenterList 1 51 6 50 6,1.128
24,CenterList 2 0 0 0 1,0.992
25,CenterList 3 0 0 1 0,0.999
26,CenterList 4 50.777 6 50.778 6,1.153
27,CenterList 5 50.777 6 50.778 6.001,1.277
28,CenterList 6 50 6 -50 174,0.994
29,Diameter 0 51 6 51 7,1.099
30,Diameter 1 51 6 50 6,1.197
31,Diameter 2 0 0 0 1,1.03
32,Diameter 3 0 0 1 0,1.035
33,Diameter 4 50.777 6 50.778 6,1.241
34,Diameter 5 50.777 6 50.778 6.001,1.212
35,Diameter 6 50 6 -50 174,1.04
36,DiameterList 0 51 6 51 7,1.257
37,DiameterList 1 51 6 50 6,1.109
38,DiameterList 2 0 0 0 1,0.948
39,DiameterList 3 0 0 1 0,0.974
40,DiameterList 4 50.777 6 50.778 6,1.112
41,DiameterList 5 50.777 6 50.778 6.001,1.133
42,DiameterList 6 50 6 -50 174,0.973
43,Distance* 0 51 6 51 7,1.268
44,Distance* 1 51 6 50 6,1.06
45,Distance* 2 0 0 0 1,1.061
46,Distance* 3 0 0 1 0,1.068
47,Distance* 4 50.777 6 50.778 6,1.355
48,Distance* 5 50.777 6 50.778 6.001,1.087
49,Distance* 6 50 6 -50 174,1.087
50,Distance 0 51 6 51 7,1.216
51,Distance 1 51 6 50 6,1.062
52,Distance 2 0 0 0 1,1.011
53,Distance 3 0 0 1 0,1.027
54,Distance 4 50.777 6 50.778 6,1.5
